hit_type,company_name,company_name_cn,country,zip_code,city,federal_state,website,booth,booth_ref,profile_url,ref_no,main_scope_of_business,official_image,profile_title,profile_meta_description,profile_headings
Exhibitor,ADH XR LIMITED,極專注有限公司,,,,,https://www.questxr.ai,Stand J35,J35,https://www.aipluspower.com/exhibitor-list,1,All,wix:image://v1/00bc10_98525e27f8e1414a8bb7634d991f250f~mv2.png/AI+Power2026_Exhibitor_ADH%20XR%20LIMITED.png#originWidth=200&originHeight=100,ADH XR LIMITED,AI+ Power 2026 exhibitor. Ref 1. Booth J35. Main scope: All. Chinese name: 極專注有限公司.,
Exhibitor,AIX SOCIETY,人工智能應用研究學會,,,,,https://www.aixsociety.com,Stand H35,H35,https://www.aipluspower.com/exhibitor-list,2,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_7ad46d59d10c45d6829e7890959bc5ee~mv2.png/AI+Power2026_Exhibitor_AIX%20SOCIETY.png#originWidth=200&originHeight=100,AIX SOCIETY,"AI+ Power 2026 exhibitor. Ref 2. Booth H35. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 人工智能應用研究學會.",
Exhibitor,AKMII INFORMATION LIMITED,知普信息科技有限公司,,,,,https://www.yeeflow.com,Stand J32,J32,https://www.aipluspower.com/exhibitor-list,3,All,wix:image://v1/00bc10_ba50eae347004ef1802493f6cb600916~mv2.png/AI+Power2026_Exhibitor_AKMII%20INFORMATION%20LIMITED.png#originWidth=200&originHeight=100,AKMII INFORMATION LIMITED,AI+ Power 2026 exhibitor. Ref 3. Booth J32. Main scope: All. Chinese name: 知普信息科技有限公司.,
Exhibitor,AMEO CONNECT LIMITED,阿美奧雲有限公司,,,,,https://ameo.ai,Stand H11,H11,https://www.aipluspower.com/exhibitor-list,4,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity, Blockchain with AI Integration",wix:image://v1/00bc10_1e14d87ee94e48b5abdc74d09287fe4e~mv2.png/AI+Power2026_Exhibitor_AMEO%20CONNECT%20LIMITED.png#originWidth=625&originHeight=313,AMEO CONNECT LIMITED,"AI+ Power 2026 exhibitor. Ref 4. Booth H11. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity, Blockchain with AI Integration. Chinese name: 阿美奧雲有限公司.",
Exhibitor,ANIMO TECHNOLOGY LIMITED,,,,,,https://advoo.ai,Stand D06,D06,https://www.aipluspower.com/exhibitor-list,5,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_37e8e9f5863d433cbb28d514caf92f1d~mv2.png/AI+Power2026_Exhibitor_ANIMO%20TECHNOLOGY%20LIMITED.png#originWidth=625&originHeight=313,ANIMO TECHNOLOGY LIMITED,"AI+ Power 2026 exhibitor. Ref 5. Booth D06. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,APPLIED AI HONG KONG LIMITED,,,,,,https://aaico.com,Stand G31,G31,https://www.aipluspower.com/exhibitor-list,6,All,wix:image://v1/00bc10_2835e5fb04c44ea0a87364115d72f2a0~mv2.png/AI+Power2026_Exhibitor_APPLIED%20AI%20HONG%20KONG%20LIMITED.png#originWidth=625&originHeight=313,APPLIED AI HONG KONG LIMITED,AI+ Power 2026 exhibitor. Ref 6. Booth G31. Main scope: All.,
Exhibitor,ASTA SYSTEMS LIMITED,亞軟科技有限公司,,,,,https://www.astasys.com/,Stand E45,E45,https://www.aipluspower.com/exhibitor-list,7,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity, Blockchain with AI Integration",wix:image://v1/00bc10_bc4a673578c048a488e8dc03aedfee14~mv2.png/AI+Power2026_Exhibitor_ASTA%20SYSTEMS%20LIMITED.png#originWidth=200&originHeight=100,ASTA SYSTEMS LIMITED,"AI+ Power 2026 exhibitor. Ref 7. Booth E45. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity, Blockchain with AI Integration. Chinese name: 亞軟科技有限公司.",
Exhibitor,BR TECH,,,,,,https://en.brtech.kr/,Stand K54,K54,https://www.aipluspower.com/exhibitor-list,8,All,wix:image://v1/00bc10_ad699079ab7a4dce9021883bd9fb6b70~mv2.png/AI+Power2026_Exhibitor_BR%20Tech.png#originWidth=200&originHeight=100,BR TECH,AI+ Power 2026 exhibitor. Ref 8. Booth K54. Main scope: All.,
Exhibitor,CANGLORY LIMITED,,,,,,https://everonlearning.com,Stand H21,H21,https://www.aipluspower.com/exhibitor-list,9,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_911b52d27d49496f886321c2d78c7c09~mv2.png/AI+Power2026_Exhibitor_CANGLORY%20LIMITED.png#originWidth=625&originHeight=313,CANGLORY LIMITED,"AI+ Power 2026 exhibitor. Ref 9. Booth H21. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,Canon Hongkong Company Limited,佳能香港有限公司,,,,,https://hk.canon/en/business,Stand F11,F11,https://www.aipluspower.com/exhibitor-list,10,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_d0b2b21284244fb1ad71a38bd1378ead~mv2.jpg/Canon_DYA_COL_CMYK_1x1%20JPEG.jpg#originWidth=1546&originHeight=744,Canon Hongkong Company Limited,"AI+ Power 2026 exhibitor. Ref 10. Booth F11. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 佳能香港有限公司.",
Exhibitor,CARRYAI COMPANY LIMITED,,,,,,https://www.carryai.co/,Stand F13,F13,https://www.aipluspower.com/exhibitor-list,11,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration",wix:image://v1/00bc10_a6cee9c5bc6c435281ebe4d51de8def5~mv2.png/AI+Power2026_Exhibitor_CARRYAI%20COMPANY%20LIMITED%20(1).png#originWidth=625&originHeight=313,CARRYAI COMPANY LIMITED,"AI+ Power 2026 exhibitor. Ref 11. Booth F13. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration.",
Exhibitor,CITIC Telecom International CPC Limited,中信國際電訊(信息技術)有限公司,,,,,https://www.citictel-cpc.com,Stand J31,J31,https://www.aipluspower.com/exhibitor-list,13,All,wix:image://v1/00bc10_5742fc4faca0496c96bb3c4b68d02bbf~mv2.png/AI+Power2026_Exhibitor_CITIC%20Telecom%20International%20CPC%20Limited.png#originWidth=625&originHeight=313,CITIC Telecom International CPC Limited,AI+ Power 2026 exhibitor. Ref 13. Booth J31. Main scope: All. Chinese name: 中信國際電訊(信息技術)有限公司.,
Exhibitor,CODE FREE SOFT LIMITED,,,,,,https://www.codefreesoft.com,Stand E12,E12,https://www.aipluspower.com/exhibitor-list,14,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_a5277551c15a4d6a9d6e989bb8649b1e~mv2.png/AI+Power2026_Exhibitor_CODE%20FREE%20SOFT%20LIMITED.png#originWidth=625&originHeight=313,CODE FREE SOFT LIMITED,"AI+ Power 2026 exhibitor. Ref 14. Booth E12. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,COINPOST INC.,,,,,,https://coinpost.jp/,Stand D02,D02,https://www.aipluspower.com/exhibitor-list,15,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_882c9d951ae840a2a9a6f9299195da3d~mv2.png/AI+Power2026_Exhibitor_COINPOST%20INC..png#originWidth=625&originHeight=313,COINPOST INC.,"AI+ Power 2026 exhibitor. Ref 15. Booth D02. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,CONNECTAR LIMITED,,,,,,https://www.connectar.group/,Stand E28,E28,https://www.aipluspower.com/exhibitor-list,16,"All, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_3e63a60f1b4d42cca70baecf6a18b2e1~mv2.png/AI+Power2026_Exhibitor_CONNECTAR%20LIMITED.png#originWidth=625&originHeight=313,CONNECTAR LIMITED,"AI+ Power 2026 exhibitor. Ref 16. Booth E28. Main scope: All, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,COREMAIL HONG KONG COMPANY LIMITED,廣東盈世電腦科技有限公司,,,,,http://www.coremail.ai/,Stand H13,H13,https://www.aipluspower.com/exhibitor-list,17,"AI Infrastructure & Platform, All, Cybersecurity",wix:image://v1/00bc10_c0f789af511d4cfcb13d410552f72d1c~mv2.png/AI+Power2026_Exhibitor_COREMAIL%20HONG%20KONG%20COMPANY%20LIMITED.png#originWidth=625&originHeight=313,COREMAIL HONG KONG COMPANY LIMITED,"AI+ Power 2026 exhibitor. Ref 17. Booth H13. Main scope: AI Infrastructure & Platform, All, Cybersecurity. Chinese name: 廣東盈世電腦科技有限公司.",
Exhibitor,DAWOOLPPT,,,,,,https://dawoolppt.com/#/en,Stand K58,K58,https://www.aipluspower.com/exhibitor-list,18,All,wix:image://v1/00bc10_89b69337fb214ca0b11c1571fdcab934~mv2.png/AI+Power2026_Exhibitor_Dawool%20PPT%20Ci.png#originWidth=200&originHeight=100,DAWOOLPPT,AI+ Power 2026 exhibitor. Ref 18. Booth K58. Main scope: All.,
Exhibitor,DBINSIGHT.AI LIMITED,灼見智能有限公司,,,,,https://dbinsight.ai/,Stand G42,G42,https://www.aipluspower.com/exhibitor-list,19,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_d2b0d8c619dd4d53b2e324628f3bc3e4~mv2.png/AI+Power2026_Exhibitor_DBINSIGHT.AI%20LIMITED.png#originWidth=625&originHeight=313,DBINSIGHT.AI LIMITED,"AI+ Power 2026 exhibitor. Ref 19. Booth G42. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 灼見智能有限公司.",
Exhibitor,DXLAB LIMITED,迪士設計實驗室有限公司,,,,,https://dthinkr.ai,Stand E41,E41,https://www.aipluspower.com/exhibitor-list,20,"All, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_e075cbcb194b418b94ad56c123083cd2~mv2.png/AI+Power2026_Exhibitor_DXLAB%20LIMITED.png#originWidth=200&originHeight=100,DXLAB LIMITED,"AI+ Power 2026 exhibitor. Ref 20. Booth E41. Main scope: All, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 迪士設計實驗室有限公司.",
Exhibitor,EBENHEIM,,,,,,,Stand K60,K60,https://www.aipluspower.com/exhibitor-list,21,All,wix:image://v1/00bc10_589e44ac0bda4c7792ea166a83da5f40~mv2.png/AI+Power2026_Exhibitor_Ebenheim.png#originWidth=200&originHeight=100,EBENHEIM,AI+ Power 2026 exhibitor. Ref 21. Booth K60. Main scope: All.,
Exhibitor,ENJOYNEER EDUCATION LIMITED,工程思教育服務有限公司,,,,,https://www.enjoyneer.com.hk,Stand H12,H12,https://www.aipluspower.com/exhibitor-list,22,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_0ce749a8991642228508b8324920e0ec~mv2.png/AI+Power2026_Exhibitor_ENJOYNEER%20EDUCATION%20LIMITED.png#originWidth=625&originHeight=313,ENJOYNEER EDUCATION LIMITED,"AI+ Power 2026 exhibitor. Ref 22. Booth H12. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 工程思教育服務有限公司.",
Exhibitor,ENTRUST GLOBAL TECHNOLOGY LIMITED,,,,,,https://clawbi.ai,Stand H22,H22,https://www.aipluspower.com/exhibitor-list,23,All,wix:image://v1/00bc10_d6c58b20c11b4d439ab84c1c59a1d5da~mv2.png/AI+Power2026_Exhibitor_ENTRUST%20GLOBAL%20TECHNOLOGY%20LIMITED.png#originWidth=200&originHeight=100,ENTRUST GLOBAL TECHNOLOGY LIMITED,AI+ Power 2026 exhibitor. Ref 23. Booth H22. Main scope: All.,
Exhibitor,"EVERIDGE CO., LTD.",,,,,,https://www.everidge.co.jp/company/ja,Stand D03,D03,https://www.aipluspower.com/exhibitor-list,24,All,wix:image://v1/00bc10_17a09d4c6be141ce828e5434fc4a1d39~mv2.png/AI+Power2026_Global%20Strategic%20Expo%20Partner%20-%20Everidge.png#originWidth=625&originHeight=313,"EVERIDGE CO., LTD.",AI+ Power 2026 exhibitor. Ref 24. Booth D03. Main scope: All.,
Exhibitor,FOUR DIRECTIONS TECH LIMITED,四方移動有限公司,,,,,https://kubot.ai/,Stand J21,J21,https://www.aipluspower.com/exhibitor-list,25,All,wix:image://v1/00bc10_eb22e23c1d5747dba42ae78e2b199f46~mv2.png/AI+Power2026_Exhibitor_FOUR%20DIRECTIONS%20TECH%20LIMITED.png#originWidth=625&originHeight=313,FOUR DIRECTIONS TECH LIMITED,AI+ Power 2026 exhibitor. Ref 25. Booth J21. Main scope: All. Chinese name: 四方移動有限公司.,
Exhibitor,FPT CONSULTING SERVICE LIMITED,,,,,,https://fptsoftware.com/,Stand E32,E32,https://www.aipluspower.com/exhibitor-list,26,"All, AI Infrastructure & Platform",wix:image://v1/00bc10_7f27c5bec56b45f0b836cf68384035fb~mv2.png/AI+Power2026_Exhibitor_DBINSIGHT.AI%20LIMITED%20(1).png#originWidth=625&originHeight=313,FPT CONSULTING SERVICE LIMITED,"AI+ Power 2026 exhibitor. Ref 26. Booth E32. Main scope: All, AI Infrastructure & Platform.",
Exhibitor,FORE SYSTEMS LIMITED,科先系統有限公司,,,,,https://foresys.com.hk/,Stand H31,H31,https://www.aipluspower.com/exhibitor-list,27,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity",wix:image://v1/00bc10_bc68785d0d5046558e87b80d9a9071fa~mv2.png/AI+Power2026_Exhibitor_FORE%20SYSTEMS%20LIMITED%20.png#originWidth=625&originHeight=313,FORE SYSTEMS LIMITED,"AI+ Power 2026 exhibitor. Ref 27. Booth H31. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity. Chinese name: 科先系統有限公司.",
Exhibitor,GF TECHNOVATION COMPANY LIMITED,衞晉創新科技有限公司,,,,,https://www.gftechnovation.com.hk,Stand H43,H43,https://www.aipluspower.com/exhibitor-list,28,"All, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_245d3b8cf25e4597ada0d25ee96d20f8~mv2.png/AI+Power2026_Exhibitor_GF%20TECHNOVATION%20COMPANY%20LIMITED.png#originWidth=625&originHeight=313,GF TECHNOVATION COMPANY LIMITED,"AI+ Power 2026 exhibitor. Ref 28. Booth H43. Main scope: All, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 衞晉創新科技有限公司.",
Exhibitor,GOGBA港商服務站（福田）,,,,,,https://www.hexcubes.com/,Stand E23,E23,https://www.aipluspower.com/exhibitor-list,29,All,wix:image://v1/00bc10_f07e1a9ef468420eb2e9fd2ce2adf4f5~mv2.png/AI+Power2026_Exhibitor_Business%20Support%20Centre%20(Futian).png#originWidth=625&originHeight=313,GOGBA港商服務站（福田）,AI+ Power 2026 exhibitor. Ref 29. Booth E23. Main scope: All.,
Exhibitor,"GUANGDONG AVCIT TECHNOLOGY HOLDING CO., LTD.",,,,,,https://www.avcit.com,Stand E37,E37,https://www.aipluspower.com/exhibitor-list,30,All,"wix:image://v1/00bc10_16d37464ffe543cc8a5aae31b30359a8~mv2.png/AI+Power2026_Exhibitor_GUANGDONG%20AVCIT%20TECHNOLOGY%20HOLDING%20CO.,%20LTD..png#originWidth=625&originHeight=313","GUANGDONG AVCIT TECHNOLOGY HOLDING CO., LTD.",AI+ Power 2026 exhibitor. Ref 30. Booth E37. Main scope: All.,
Exhibitor,HEWLETT-PACKARD HK SAR LIMITED,,,,,,https://www.hpe.com/us/en/home.html,Stand D05,D05,https://www.aipluspower.com/exhibitor-list,31,All,wix:image://v1/00bc10_4a4ea44ffab84c229e8276e425314d5a~mv2.png/AI+Power2026_Exhibitor_Hewlett-Packard%20HK%20SAR%20Limited.png#originWidth=625&originHeight=313,HEWLETT-PACKARD HK SAR LIMITED,AI+ Power 2026 exhibitor. Ref 31. Booth D05. Main scope: All.,
Exhibitor,HKT,,,,,,https://hkt.com,Stand F43,F43,https://www.aipluspower.com/exhibitor-list,32,All,wix:image://v1/00bc10_8b615df156da4390882fe70d405dcf22~mv2.png/AI+Power2026_Exhibitor_HKT.png#originWidth=625&originHeight=313,HKT,AI+ Power 2026 exhibitor. Ref 32. Booth F43. Main scope: All.,
Exhibitor,HONG KONG APPLIED SCIENCE AND TECHNOLOGY RESEARCH INSTITUTE COMPANY LIMITED,香港應用科技研究院,,,,,https://www.astri.org/,Stand G43,G43,https://www.aipluspower.com/exhibitor-list,33,All,wix:image://v1/00bc10_0dcee5526c854fd2975f683adb6810f6~mv2.png/AI+Power2026_Exhibitor_HONG%20KONG%20APPLIED%20SCIENCE%20AND%20TECHNOLOGY%20RESEARCH%20INSTITUTE%20COMPANY.png#originWidth=200&originHeight=100,HONG KONG APPLIED SCIENCE AND TECHNOLOGY RESEARCH INSTITUTE COMPANY LIMITED,AI+ Power 2026 exhibitor. Ref 33. Booth G43. Main scope: All. Chinese name: 香港應用科技研究院.,
Exhibitor,HONG KONG ECONOMIC JOURNAL,《信報財經新聞》,,,,,,Stand G44,G44,https://www.aipluspower.com/exhibitor-list,34,All,wix:image://v1/00bc10_7067670c95f645db9bd42eba50649ff3~mv2.png/AI+%20Power%202026%20-%20Media_HKEJ.png#originWidth=625&originHeight=313,HONG KONG ECONOMIC JOURNAL,AI+ Power 2026 exhibitor. Ref 34. Booth G44. Main scope: All. Chinese name: 《信報財經新聞》.,
Exhibitor,HP INC HONG KONG LIMITED,惠普香港有限公司,,,,,https://www.hp.com/hk,Stand G22,G22,https://www.aipluspower.com/exhibitor-list,35,"All, AI Infrastructure & Platform",wix:image://v1/00bc10_3bad3a148aed428991374b656e7995f6~mv2.png/AI+Power2026_Exhibitor_HP%20INC%20HONG%20KONG%20LIMITED.png#originWidth=200&originHeight=100,HP INC HONG KONG LIMITED,"AI+ Power 2026 exhibitor. Ref 35. Booth G22. Main scope: All, AI Infrastructure & Platform. Chinese name: 惠普香港有限公司.",
Exhibitor,"IFLYTEK CO., LTD.",科大訊飛股份有限公司,,,,,https://www.iflytek.com,Stand H01,H01,https://www.aipluspower.com/exhibitor-list,36,All,"wix:image://v1/00bc10_15ab9a7c74104f54b3f53d983f945459~mv2.png/AI+Power2026_Exhibitor_IFLYTEK%20CO.,%20LTD..png#originWidth=625&originHeight=313","IFLYTEK CO., LTD.",AI+ Power 2026 exhibitor. Ref 36. Booth H01. Main scope: All. Chinese name: 科大訊飛股份有限公司.,
Exhibitor,I-GEN AI LIMITED,,,,,,https://www.i-gen.ai/,Stand E44,E44,https://www.aipluspower.com/exhibitor-list,37,"All, AI Solutions",wix:image://v1/00bc10_18267a13491c4735bde9735edc856c16~mv2.png/AI+Power2026_Exhibitor_I-GEN%20AI%20LIMITAD.png#originWidth=200&originHeight=100,I-GEN AI LIMITED,"AI+ Power 2026 exhibitor. Ref 37. Booth E44. Main scope: All, AI Solutions.",
Exhibitor,INFO ACCESS AND DISTRIBUTION (HK) LIMITED,,,,,,http://www.iready.com.hk,Stand F32,F32,https://www.aipluspower.com/exhibitor-list,38,"All, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_674b963e90bc4ff59d6e3ddb8edb76e3~mv2.png/AI+Power2026_Exhibitor_INFO%20ACCESS%20AND%20DISTRIBUTION%20(HK)%20LIMITED.png#originWidth=625&originHeight=313,INFO ACCESS AND DISTRIBUTION (HK) LIMITED,"AI+ Power 2026 exhibitor. Ref 38. Booth F32. Main scope: All, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,INNOTECO,,,,,,http://www.innotecoinc.com/en,Stand K56,K56,https://www.aipluspower.com/exhibitor-list,39,All,wix:image://v1/00bc10_8ceee145998d4ba0bc62622cf1b558ae~mv2.png/AI+Power2026_Exhibitor_Innoteco.png#originWidth=200&originHeight=100,INNOTECO,AI+ Power 2026 exhibitor. Ref 39. Booth K56. Main scope: All.,
Exhibitor,INNOX AI LIMITED,,,,,,https://www.innox.ai,Stand J33,J33,https://www.aipluspower.com/exhibitor-list,40,All,wix:image://v1/00bc10_59deb2ad543240ec948443e7e02a5f2b~mv2.png/AI+Power2026_Exhibitor_INNOX%20AI%20LIMITED.png#originWidth=625&originHeight=313,INNOX AI LIMITED,AI+ Power 2026 exhibitor. Ref 40. Booth J33. Main scope: All.,
Exhibitor,ITREND FORCE COMPANY LIMITED,曉智動力有限公司,,,,,https://itrendforce.com/,Stand E46,E46,https://www.aipluspower.com/exhibitor-list,41,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_65429f1b20664f9396abbf704dbe3e8b~mv2.png/AI+Power2026_Exhibitor_ITREND%20FORCE%20COMPANY%20LIMITED.png#originWidth=200&originHeight=100,ITREND FORCE COMPANY LIMITED,"AI+ Power 2026 exhibitor. Ref 41. Booth E46. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 曉智動力有限公司.",
