hit_type,company_name,company_name_cn,country,zip_code,city,federal_state,website,booth,booth_ref,profile_url,ref_no,main_scope_of_business,official_image,profile_title,profile_meta_description,profile_headings
Exhibitor,J.E.D. TECHNOLOGY CONSULTANCY COMPANY LIMITED,捷妍資訊科技顧問有限公司,,,,,https://jedtech.hk,Stand E24,E24,https://www.aipluspower.com/exhibitor-list,42,All,wix:image://v1/00bc10_809c69ef6b284e86be4541381dc5b5a9~mv2.png/AI+Power2026_Exhibitor_J.E.D.%20TECHNOLOGY%20CONSULTANCY%20COMPANY%20LIMITED.png#originWidth=625&originHeight=313,J.E.D. TECHNOLOGY CONSULTANCY COMPANY LIMITED,AI+ Power 2026 exhibitor. Ref 42. Booth E24. Main scope: All. Chinese name: 捷妍資訊科技顧問有限公司.,
Exhibitor,JOJO VENTURES LIMITED,,,,,,https://jojo.ventures/,Stand G21,G21,https://www.aipluspower.com/exhibitor-list,43,"AI Infrastructure & Platform, All",wix:image://v1/00bc10_497d634c66bd4901aae52902530ee296~mv2.png/AI+Power2026_Exhibitor_JOJO%20VENTURES%20LIMITED.png#originWidth=625&originHeight=313,JOJO VENTURES LIMITED,"AI+ Power 2026 exhibitor. Ref 43. Booth G21. Main scope: AI Infrastructure & Platform, All.",
Exhibitor,KUAILU TECHNOLOGY (HK) LIMITED,快鷺科技(香港)有限公司,,,,,https://www.kuailutech.com/,Stand G12,G12,https://www.aipluspower.com/exhibitor-list,44,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_4b708f3bd9574de19214c616e1bcd39c~mv2.png/AI+Power2026_Exhibitor_KUAILU%20TECHNOLOGY%20(HK)%20LIMITED.png#originWidth=625&originHeight=313,KUAILU TECHNOLOGY (HK) LIMITED,"AI+ Power 2026 exhibitor. Ref 44. Booth G12. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 快鷺科技(香港)有限公司.",
Exhibitor,KUBOT,,,,,,https://kubot.ai/,Stand J23,J23,https://www.aipluspower.com/exhibitor-list,45,All,wix:image://v1/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/AI+%20Power%202026_Speaker_%20.png#originWidth=1000&originHeight=1000,KUBOT,AI+ Power 2026 exhibitor. Ref 45. Booth J23. Main scope: All.,
Exhibitor,LANTERN LAB LIMITED,,,,,,http://www.ourlanterns.com,Stand K47,K47,https://www.aipluspower.com/exhibitor-list,46,"All, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration",wix:image://v1/00bc10_187a6b4233364df294c687c6aec9ed64~mv2.png/AI+Power2026_Exhibitor_LANTERN%20LAB%20LIMITED.png#originWidth=625&originHeight=313,LANTERN LAB LIMITED,"AI+ Power 2026 exhibitor. Ref 46. Booth K47. Main scope: All, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration.",
Exhibitor,LEDGERB.IO LIMITED,,,,,,https://www.ourlanterns.com,Stand E22,E22,https://www.aipluspower.com/exhibitor-list,47,All,wix:image://v1/00bc10_aeef091d24cc45ada7f8f955b7f786b4~mv2.png/AI+Power2026_Exhibitor_LEDGERB.IO.png#originWidth=625&originHeight=313,LEDGERB.IO LIMITED,AI+ Power 2026 exhibitor. Ref 47. Booth E22. Main scope: All.,
Exhibitor,LINGNAN UNIVERSITY,嶺南大學,,,,,https://www.ln.edu.hk/orkt,Stand K41,K41,https://www.aipluspower.com/exhibitor-list,48,"All, AI Solutions",wix:image://v1/00bc10_65de8186f922484488fdfdb7414312af~mv2.png/AI+Power2026_Exhibitor_LINGNAN%20UNIVERSITY.png#originWidth=625&originHeight=313,LINGNAN UNIVERSITY,"AI+ Power 2026 exhibitor. Ref 48. Booth K41. Main scope: All, AI Solutions. Chinese name: 嶺南大學.",
Exhibitor,LOGITECH,,,,,,https://www.logitech.com/zh-hk,Stand F03,F03,https://www.aipluspower.com/exhibitor-list,49,All,wix:image://v1/00bc10_0a8002065c3c446fbd4474d4289c8a3d~mv2.png/AI+Power2026_Exhibitor_LOGITECH.png#originWidth=625&originHeight=313,LOGITECH,AI+ Power 2026 exhibitor. Ref 49. Booth F03. Main scope: All.,
Exhibitor,MARTIAN WORKS STUDIO,火星夢工場,,,,,https://fnewmedia.com/,Stand G33,G33,https://www.aipluspower.com/exhibitor-list,50,All,wix:image://v1/00bc10_072abde10fce44389af3165bdf5d2043~mv2.png/AI+Power2026_Exhibitor_MARTIAN%20WORKS%20STUDIO%20.png#originWidth=625&originHeight=313,MARTIAN WORKS STUDIO,AI+ Power 2026 exhibitor. Ref 50. Booth G33. Main scope: All. Chinese name: 火星夢工場.,
Exhibitor,MATRADE HONG KONG,,,,,,https://www.matrade.gov.my/en,Stand G34,G34,https://www.aipluspower.com/exhibitor-list,51,All,wix:image://v1/00bc10_3157b98b94644bb4b8a093c2169683cd~mv2.png/AI+Power2026_Exhibitor_MATRADE%20HONG%20KONG.png#originWidth=200&originHeight=100,MATRADE HONG KONG,AI+ Power 2026 exhibitor. Ref 51. Booth G34. Main scope: All.,
Exhibitor,MAXIM'S CATERERS LIMITED,美心食品有限公司,,,,,https://www.maxims.com.hk/zh-hk/contact-us,Stand G32,G32,https://www.aipluspower.com/exhibitor-list,52,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration",wix:image://v1/00bc10_77c61d8235354870802a3030837e2aca~mv2.png/AI+Power2026_Exhibitor_MAXIM'S%20CATERERS%20LIMITED.png#originWidth=625&originHeight=313,MAXIM'S CATERERS LIMITED,"AI+ Power 2026 exhibitor. Ref 52. Booth G32. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration. Chinese name: 美心食品有限公司.",
Exhibitor,MUXIC LIMITED,秒得,,,,,http://www.muxic.io,Stand E11,E11,https://www.aipluspower.com/exhibitor-list,53,"All, AI Infrastructure & Platform, Blockchain with AI Integration",wix:image://v1/00bc10_656a7e6289c34b559319a7e5e881726f~mv2.png/AI+Power2026_Exhibitor_MUXIC%20LIMITED.png#originWidth=200&originHeight=100,MUXIC LIMITED,"AI+ Power 2026 exhibitor. Ref 53. Booth E11. Main scope: All, AI Infrastructure & Platform, Blockchain with AI Integration. Chinese name: 秒得.",
Exhibitor,NESTLE HONG KONG LTD.,雀巢香港有限公司,,,,,https://www.nespresso.com/pro/hk/en,Stand E33,E33,https://www.aipluspower.com/exhibitor-list,54,All,wix:image://v1/00bc10_9454d9239a454f0ba59e3540a24f649b~mv2.png/AI+Power2026_Exhibitor_NESTLE%20HONG%20KONG%20LTD..png#originWidth=200&originHeight=100,NESTLE HONG KONG LTD.,AI+ Power 2026 exhibitor. Ref 54. Booth E33. Main scope: All. Chinese name: 雀巢香港有限公司.,
Exhibitor,NEXSTRIDE TECHNOLOGY LIMITED,納思動力科技有限公司,,,,,https://nexstride.hk/,Stand H26,H26,https://www.aipluspower.com/exhibitor-list,55,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration, Cybersecurity",wix:image://v1/00bc10_38c1de5a8cf54742a9ab04ad053a47e1~mv2.png/AI+Power2026_Exhibitor_NEXSTRIDE%20TECHNOLOGY%20LIMITED.png#originWidth=625&originHeight=313,NEXSTRIDE TECHNOLOGY LIMITED,"AI+ Power 2026 exhibitor. Ref 55. Booth H26. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration, Cybersecurity. Chinese name: 納思動力科技有限公司.",
Exhibitor,NULINK SOLUTIONS LIMITED,匯萃科技有限公司,,,,,https://www.nulink.com.hk,Stand F22,F22,https://www.aipluspower.com/exhibitor-list,56,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity",wix:image://v1/00bc10_aff628beaf3b459798e5a512dedc7913~mv2.png/AI+Power2026_Exhibitor_NULINK%20SOLUTIONS%20LIMITED.png#originWidth=625&originHeight=313,NULINK SOLUTIONS LIMITED,"AI+ Power 2026 exhibitor. Ref 56. Booth F22. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity. Chinese name: 匯萃科技有限公司.",
Exhibitor,ODOO HK LIMITED,,,,,,https://www.odoo.com,Stand G11,G11,https://www.aipluspower.com/exhibitor-list,57,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_405b47fbb96c4c8a9aa8273e6b9248dd~mv2.png/AI+Power2026_Exhibitor_ODOO%20HK%20LIMITED.png#originWidth=625&originHeight=313,ODOO HK LIMITED,"AI+ Power 2026 exhibitor. Ref 57. Booth G11. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,OMNICHAT LIMITED,,,,,,https://www.omnichat.ai/hk/,Stand H41,H41,https://www.aipluspower.com/exhibitor-list,58,"All, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_09416ede7820473a86a2e854500e6008~mv2.png/AI+Power2026_Exhibitor_OMNICHAT%20LIMITED.png#originWidth=625&originHeight=313,OMNICHAT LIMITED,"AI+ Power 2026 exhibitor. Ref 58. Booth H41. Main scope: All, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,OPENCLAW LIMITED,,,,,,https://www.hkwanlong.com,Stand E43,E43,https://www.aipluspower.com/exhibitor-list,59,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration",wix:image://v1/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/AI+%20Power%202026_Speaker_%20.png#originWidth=1000&originHeight=1000,OPENCLAW LIMITED,"AI+ Power 2026 exhibitor. Ref 59. Booth E43. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration.",
Exhibitor,PARADM COMPANY LIMITED,普達資訊管理有限公司,,,,,https://www.paradm.com,Stand G23,G23,https://www.aipluspower.com/exhibitor-list,60,"AI Solutions, All",wix:image://v1/00bc10_78ac47342c4946089ded0f125fae8f1c~mv2.png/AI+Power2026_Exhibitor_PARADM%20COMPANY%20LIMITED.png#originWidth=625&originHeight=313,PARADM COMPANY LIMITED,"AI+ Power 2026 exhibitor. Ref 60. Booth G23. Main scope: AI Solutions, All. Chinese name: 普達資訊管理有限公司.",
Exhibitor,PCNC,,,,,,https://pcnc.re.kr/eng/?page_id=40,Stand K52,K52,https://www.aipluspower.com/exhibitor-list,61,All,wix:image://v1/00bc10_574e5bba18204951a6a831d7bf3cee8e~mv2.png/AI+Power2026_Exhibitor_PCNC.png#originWidth=200&originHeight=100,PCNC,AI+ Power 2026 exhibitor. Ref 61. Booth K52. Main scope: All.,
Exhibitor,PRESSLOGIC,邏輯媒體科技有限公司,,,,,https://www.presslogic.ai/,Stand F44,F44,https://www.aipluspower.com/exhibitor-list,62,"All, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_7ca5262ee2294036ac4b116fa8d98334~mv2.png/AI+Power2026_Exhibitor_PRESSLOGIC.png#originWidth=200&originHeight=100,PRESSLOGIC,"AI+ Power 2026 exhibitor. Ref 62. Booth F44. Main scope: All, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 邏輯媒體科技有限公司.",
Exhibitor,PRUDENTIAL,保誠保險,,,,,https://www.prudential.com.hk,Stand G24,G24,https://www.aipluspower.com/exhibitor-list,63,All,wix:image://v1/00bc10_644105578e3d4b088f3ca55868fa7274~mv2.png/AI+Power2026_Exhibitor_PRUCDENTIAL.png#originWidth=625&originHeight=313,PRUDENTIAL,AI+ Power 2026 exhibitor. Ref 63. Booth G24. Main scope: All. Chinese name: 保誠保險.,
Exhibitor,RADARI AI LIMITED,,,,,,https://radari.ai/,Stand E42,E42,https://www.aipluspower.com/exhibitor-list,64,"All, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_12d1fed6f6b547d2a0ccce75addda775~mv2.png/AI+Power2026_Exhibitor_RADARI%20AI%20LIMITED.png#originWidth=200&originHeight=100,RADARI AI LIMITED,"AI+ Power 2026 exhibitor. Ref 64. Booth E42. Main scope: All, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,REDIX TECHNOLOGY COMPANY LIMITED,煒狄科技有限公司,,,,,https://www.redix.jp,Stand E21,E21,https://www.aipluspower.com/exhibitor-list,65,All,wix:image://v1/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/AI+%20Power%202026_Speaker_%20.png#originWidth=1000&originHeight=1000,REDIX TECHNOLOGY COMPANY LIMITED,AI+ Power 2026 exhibitor. Ref 65. Booth E21. Main scope: All. Chinese name: 煒狄科技有限公司.,
Exhibitor,RWA.LTD,,,,,,https://rwa.ltd,Stand H34,H34,https://www.aipluspower.com/exhibitor-list,66,"All, Blockchain with AI Integration",wix:image://v1/00bc10_536ba74eff5a47ddb308334b7241ab1e~mv2.png/AI+Power2026_RWA.LTD.png#originWidth=625&originHeight=313,RWA.LTD,"AI+ Power 2026 exhibitor. Ref 66. Booth H34. Main scope: All, Blockchain with AI Integration.",
Exhibitor,SDS - TECHGLOBAL LIMITED,,,,,,https://www.sds-techglobal.com/,Stand F03,F03,https://www.aipluspower.com/exhibitor-list,67,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_a8bdacd9b7fa4fb99dd1a8b6b2201b12~mv2.png/AI+Power2026_SDS%20-%20TECHGLOBAL%20LIMITED.png#originWidth=625&originHeight=313,SDS - TECHGLOBAL LIMITED,"AI+ Power 2026 exhibitor. Ref 67. Booth F03. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,SET SAIL VENTURE LIMITED,啟航創投有限公司,,,,,http://setsail.ai/,Stand F31,F31,https://www.aipluspower.com/exhibitor-list,68,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration",wix:image://v1/00bc10_2cccc82399054a1088ddf76c37af6ad3~mv2.png/AI+Power2026_SDS%20-%20SET%20SAIL%20VENTURE%20LIMITED.png#originWidth=625&originHeight=313,SET SAIL VENTURE LIMITED,"AI+ Power 2026 exhibitor. Ref 68. Booth F31. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration. Chinese name: 啟航創投有限公司.",
Exhibitor,SHURE,,,,,,https://www.shure.com/en-ASIA,Stand F03,F03,https://www.aipluspower.com/exhibitor-list,69,All,wix:image://v1/00bc10_44d2b655d1464cef857c3c6206d6819d~mv2.png/AI+Power2026_Exhibitor_SHURE.png#originWidth=625&originHeight=313,SHURE,AI+ Power 2026 exhibitor. Ref 69. Booth F03. Main scope: All.,
Exhibitor,SLEEKFLOW TECHNOLOGIES LIMITED,承峰科技集團有限公司,,,,,https://sleekflow.io/,Stand G41,G41,https://www.aipluspower.com/exhibitor-list,70,"All, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_09c6f31df2314fbf8369b5792728a237~mv2.png/AI+Power2026_Exhibitor_SLEEKFLOW%20TECHNOLOGIES%20LIMITED.png#originWidth=625&originHeight=313,SLEEKFLOW TECHNOLOGIES LIMITED,"AI+ Power 2026 exhibitor. Ref 70. Booth G41. Main scope: All, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 承峰科技集團有限公司.",
Exhibitor,SME LAB (HOLDING) LTD,中小企研究所(控股)有限公司,,,,,https://smelab.com.hk,Stand J22,J22,https://www.aipluspower.com/exhibitor-list,71,All,wix:image://v1/00bc10_6d82e74a486b40a79b66ef9a5f7a2ed2~mv2.png/AI+Power2026_SME%20LAB.png#originWidth=625&originHeight=313,SME LAB (HOLDING) LTD,AI+ Power 2026 exhibitor. Ref 71. Booth J22. Main scope: All. Chinese name: 中小企研究所(控股)有限公司.,
Exhibitor,SMERT.AI LIMITED,,,,,,https://smert.ai,Stand F23,F23,https://www.aipluspower.com/exhibitor-list,72,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_693361cdcb3348969b5cf95f2be2d198~mv2.png/AI+Power2026_Exhibitor_SMERT.AI%20LIMITED.png#originWidth=625&originHeight=313,SMERT.AI LIMITED,"AI+ Power 2026 exhibitor. Ref 72. Booth F23. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,SOCIF LIMITED,,,,,,https://www.socif.co/,Stand E31,E31,https://www.aipluspower.com/exhibitor-list,73,All,wix:image://v1/00bc10_0ea0957167514806bb044b30f6897c85~mv2.png/AI+Power2026_SOCIF.png#originWidth=625&originHeight=313,SOCIF LIMITED,AI+ Power 2026 exhibitor. Ref 73. Booth E31. Main scope: All.,
Exhibitor,TERALEC SYSTEMS LIMITED,,,,,,https://www.teralec.com,Stand F21,F21,https://www.aipluspower.com/exhibitor-list,74,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration, Cybersecurity",wix:image://v1/00bc10_dfe2b56aa4b04a20b908b493006d2c75~mv2.png/AI+Power2026_Exhibitor_TERALEC%20SYSTEMS%20LIMITED.png#originWidth=625&originHeight=313,TERALEC SYSTEMS LIMITED,"AI+ Power 2026 exhibitor. Ref 74. Booth F21. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration, Cybersecurity.",
Exhibitor,TETRA LIMITED,,,,,,https://tetra.hk,Stand G14,G14,https://www.aipluspower.com/exhibitor-list,75,"AI Solutions, All, AI Infrastructure & Platform, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration, Cybersecurity",wix:image://v1/00bc10_bb1871e84d0f490683a544faab81e1c1~mv2.png/AI+Power2026_Exhibitor_TETRA%20LIMITED.png#originWidth=200&originHeight=100,TETRA LIMITED,"AI+ Power 2026 exhibitor. Ref 75. Booth G14. Main scope: AI Solutions, All, AI Infrastructure & Platform, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration, Cybersecurity.",
Exhibitor,"THE DEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERING(ECE), THE UNIVERSITY OF HONG KONG",香港大學電機與計算機工程系,,,,,https://ece.hku.hk/,Stand H02,H02,https://www.aipluspower.com/exhibitor-list,76,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors","wix:image://v1/00bc10_29473a12d5d14870a05e5c48472bcd5b~mv2.png/AI+Power2026_THE%20DEPARTMENT%20OF%20ELECTRICAL%20AND%20COMPUTER%20ENGINEERING%20(ECE),%20THE%20UNIVERSITY%20O.png#originWidth=625&originHeight=313","THE DEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERING(ECE), THE UNIVERSITY OF HONG KONG","AI+ Power 2026 exhibitor. Ref 76. Booth H02. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 香港大學電機與計算機工程系.",
Exhibitor,THE EDUCATION UNIVERSITY OF HONG KONG,香港教育大學,,,,,https://www.eduhk.hk/KnowledgeTransfer/en/index.html,Stand K42,K42,https://www.aipluspower.com/exhibitor-list,77,"All, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_4e775527a32841eb8997f453df5f1912~mv2.png/AI+Power2026_Exhibitor_THE%20EDUCATION%20UNIVERSITY%20OF%20HONG%20KONG.png#originWidth=625&originHeight=313,THE EDUCATION UNIVERSITY OF HONG KONG,"AI+ Power 2026 exhibitor. Ref 77. Booth K42. Main scope: All, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 香港教育大學.",
Exhibitor,THE HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY ENTREPRENEURSHIP CENTER,,,,,,,Stand K48,K48,https://www.aipluspower.com/exhibitor-list,78,All,wix:image://v1/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/AI+%20Power%202026_Speaker_%20.png#originWidth=1000&originHeight=1000,THE HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY ENTREPRENEURSHIP CENTER,AI+ Power 2026 exhibitor. Ref 78. Booth K48. Main scope: All.,
Exhibitor,TOPPAN NEXUS LIMITED,,,,,,https://native-t.com/,Stand J37,J37,https://www.aipluspower.com/exhibitor-list,79,All,wix:image://v1/00bc10_a0ed5b72998b42369ba12dc13138786d~mv2.png/AI+Power2026_TOPPAN%20NEXUS%20LIMITED.png#originWidth=625&originHeight=313,TOPPAN NEXUS LIMITED,AI+ Power 2026 exhibitor. Ref 79. Booth J37. Main scope: All.,
Exhibitor,UNITED TECHNOLOGIES (INT'L) LTD.,聯訊科技(囯際)有限公司,,,,,https://united.com.hk,Stand J34,J34,https://www.aipluspower.com/exhibitor-list,80,All,wix:image://v1/00bc10_da314da6f42644d0b77d681ac806192e~mv2.png/AI+Power2026_UNITED%20TECHNOLOGIES%20(INT'L)%20LTD..png#originWidth=625&originHeight=313,UNITED TECHNOLOGIES (INT'L) LTD.,AI+ Power 2026 exhibitor. Ref 80. Booth J34. Main scope: All. Chinese name: 聯訊科技(囯際)有限公司.,
Exhibitor,WEEXPAND LIMITED,同盟國際發展有限公司,,,,,https://www.weexpand.co,Stand E25,E25,https://www.aipluspower.com/exhibitor-list,81,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_1384826695ef4ee2b3a9558b91033b4a~mv2.png/AI+Power2026_WEEXPAND%20LIMITED.png#originWidth=625&originHeight=313,WEEXPAND LIMITED,"AI+ Power 2026 exhibitor. Ref 81. Booth E25. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 同盟國際發展有限公司.",
Exhibitor,VOTEE LIMITED,,,,,,https://votee.ai/,Stand H25,H25,https://www.aipluspower.com/exhibitor-list,82,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_e8b8f581da8a4986a76e5d8b8473ef80~mv2.png/AI+Power2026_Exhibitor_VOTEE%20LIMITED.png#originWidth=200&originHeight=100,VOTEE LIMITED,"AI+ Power 2026 exhibitor. Ref 82. Booth H25. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors.",
